create table RRP_MDL.M_MRPT_CRDT_FTP_REFLOW
(
  data_dt                VARCHAR2(10),
  ext_secu_acct_no       VARCHAR2(60),
  intnal_secu_acct_no    VARCHAR2(60),
  fin_instm_no           VARCHAR2(60),
  asset_type_no          VARCHAR2(60),
  market_type_no         VARCHAR2(60),
  bus_no                 VARCHAR2(250),
  curr_cd                VARCHAR2(30),
  final_ftp_rate         NUMBER(10,6),
  final_ftp_accint_day   NUMBER(24,6),
  final_ftp_accint_month NUMBER(24,6),
  final_ftp_accint_year  NUMBER(24,6)
)
tablespace TBS_EAST_DATA
  pctfree 10
  initrans 1
  maxtrans 255
  storage
  (
    initial 64K
    next 1M
    minextents 1
    maxextents unlimited
  )
compress;
comment on table RRP_MDL.M_MRPT_CRDT_FTP_REFLOW
  is '类信贷-FTP回流-手工报表专用';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.data_dt
  is '数据日期';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.ext_secu_acct_no
  is '外部证券账户编号';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.intnal_secu_acct_no
  is '内部证券账户编号';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.fin_instm_no
  is '金融工具编号';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.asset_type_no
  is '资产类型编号';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.market_type_no
  is '市场类型编号';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.bus_no
  is '业务编号';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.curr_cd
  is '币种代码';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.final_ftp_rate
  is '最终FTP利率';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.final_ftp_accint_day
  is '最终FTP利息日累计';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.final_ftp_accint_month
  is '最终FTP利息月累计';
comment on column RRP_MDL.M_MRPT_CRDT_FTP_REFLOW.final_ftp_accint_year
  is '最终FTP利息年累计';

